Position,Row,Column,Frequency (MHz),SDS Sample #,Pulse width,Ignore,Notes
Skull Position 1,3,2,1,102,1000,1,3.08 mm
Skull Position 1,3,2,2,103,1000,1,
Skull Position 1,3,2,3,104,1000,1,
Skull Position 1,3,2,1,105,1000,1,retaking
Skull Position 1,3,2,2,106,1000,1,
Skull Position 1,3,2,3,107,1000,1,
Skull Position 1,3,2,4,108,1000,1,
Skull Position 1,4,2,1,109,1000,1,
Skull Position 1,4,2,2,110,1000,1,
Skull Position 1,3,2,1,112,1000,,Now 7 V
Skull Position 1,3,2,2,113,1000,,
Skull Position 1,3,2,3,114,1000,,
Skull Position 1,3,2,4,115,1000,,
Skull Position 1,4,2,1,116,1000,,
Skull Position 1,4,2,2,117,1000,,
Skull Position 1,4,2,3,118,1000,,
Skull Position 1,4,2,4,119,1000,,
Skull Position 1,5,2,1,120,1000,,
Skull Position 1,5,2,2,121,1000,,
Skull Position 1,5,2,3,122,1000,,
Skull Position 1,5,2,4,123,1000,,
Skull Position 1,2,3,1,124,1000,,
Skull Position 1,2,3,2,125,1000,,
Skull Position 1,2,3,3,126,1000,,
Skull Position 1,2,3,4,127,1000,,
Skull Position 1,3,3,1,128,1000,,
Skull Position 1,3,3,2,129,1000,,higher at 2?
Skull Position 1,3,3,3,130,1000,,
Skull Position 1,3,3,4,131,1000,,
Skull Position 1,4,3,1,132,,,
Skull Position 1,4,3,2,133,,,
Skull Position 1,4,3,3,134,,,
Skull Position 1,4,3,4,135,,,
Skull Position 1,5,3,1,136,,,
Skull Position 1,5,3,2,137,,,
Skull Position 1,5,3,3,138,,,
Skull Position 1,5,3,4,139,,,
Skull Position 1,3,1,1,140,,,
Skull Position 1,3,1,2,142,,,
Skull Position 1,3,1,3,143,,,
Skull Position 1,3,1,4,144,,,
Water,3,2,1,145,,,
Water,3,2,2,146,,,
Water,3,2,3,147,,,
Water,3,2,4,148,,,
Water,4,2,1,150,,,
Water,4,2,2,151,,,
Water,4,2,3,152,,,
Water,4,2,4,154,,,
Water,5,2,1,155,,,
Water,5,2,2,156,,,
Water,5,2,3,157,,,
Water,5,2,4,158,,,
Water,2,3,1,159,,,
Water,2,3,2,160,,,
Water,2,3,3,161,,,
Water,2,3,4,162,,,
Water,3,3,1,164,,,
Water,3,3,2,167,,,
Water,3,3,3,169,,,
Water,3,3,4,170,,,
Water,4,3,1,171,,,
Water,4,3,2,172,,,
Water,4,3,3,173,,,
Water,4,3,4,174,,,
Water,5,3,1,175,,,
Water,5,3,2,176,,,
Water,5,3,3,177,,,
Water,5,3,4,178,,,
Water,3,1,1,180,,,
Water,3,1,2,181,,,
Water,3,1,3,182,,,
Water,3,1,4,183,,,
Skull Position 2,3,2,1,184,,,
Skull Position 2,3,2,2,185,,,
Skull Position 2,3,2,3,186,,,
Skull Position 2,3,2,4,187,,,
Skull Position 2,4,2,1,188,,,
Skull Position 2,4,2,2,189,,,
Skull Position 2,4,2,3,190,,,
Skull Position 2,4,2,4,191,,,
Skull Position 2,5,2,1,192,,,
Skull Position 2,5,2,2,193,,,
Skull Position 2,5,2,3,194,,,
Skull Position 2,5,2,4,195,,,
Skull Position 2,2,3,1,196,,,
Skull Position 2,2,3,2,197,,,
Skull Position 2,2,3,3,198,,,
Skull Position 2,2,3,4,199,,,
Skull Position 2,3,3,1,200,,,
Skull Position 2,3,3,2,201,,,
Skull Position 2,3,3,3,202,,,
Skull Position 2,3,3,4,203,,,
Skull Position 2,4,3,1,204,,,
Skull Position 2,4,3,2,205,,,
Skull Position 2,4,3,3,206,,,
Skull Position 2,4,3,4,207,,,
Skull Position 2,5,3,1,208,,,
Skull Position 2,5,3,2,209,,,
Skull Position 2,5,3,3,210,,,
Skull Position 2,5,3,4,211,,,
Skull Position 2,3,1,1,212,,,
Skull Position 2,3,1,2,213,,,
Skull Position 2,3,1,3,214,,,
Skull Position 2,3,1,4,215,,,
